showID,filename,airdate,showType,showSubType
142,1188.html,2003-06-16,Regular,Regular
143,12.html,2004-09-21,Champions,Tournament of Champions
144,120.html,2005-01-26,Teen,Teen Tournament
145,1218.html,2002-01-21,Regular,Regular
146,1219.html,2002-01-22,Regular,Regular
147,122.html,2005-01-27,Teen,Teen Tournament
148,1220.html,2002-01-23,Regular,Regular
149,1221.html,2002-01-24,Regular,Regular
150,1222.html,2002-01-25,Regular,Regular
151,123.html,2005-01-28,Teen,Teen Tournament
152,1232.html,2006-09-11,Regular,Regular
153,1233.html,2006-09-12,Regular,Regular
154,1234.html,2006-09-13,Regular,Regular
155,1235.html,2006-09-14,Regular,Regular
156,1236.html,2006-09-15,Regular,Regular
157,1251.html,2006-09-18,Regular,Regular
158,1252.html,2006-09-19,Regular,Regular
159,1253.html,2006-09-20,Regular,Regular
160,1254.html,2006-09-21,Regular,Regular
161,1255.html,2006-09-22,Regular,Regular
162,1256.html,2006-09-25,Regular,Regular
163,1257.html,2006-09-26,Regular,Regular
164,1258.html,2000-10-03,Kids,Back to School Week
165,1262.html,2006-09-27,Regular,Regular
166,1263.html,2006-09-28,Regular,Regular
167,1266.html,2006-09-29,Regular,Regular
168,127.html,2005-01-31,Teen,Teen Tournament
169,1272.html,2006-10-02,Kids,Back to School Week
170,1273.html,2006-10-03,Kids,Back to School Week
171,1274.html,2006-10-04,Kids,Back to School Week
172,1275.html,2001-04-10,Regular,Regular
173,1276.html,2006-10-05,Kids,Back to School Week
174,1277.html,2006-10-06,Kids,Back to School Week
175,1278.html,2000-10-11,Regular,Regular
176,1279.html,2001-06-01,Regular,Regular
177,1280.html,2001-06-04,Regular,Regular
178,1281.html,2001-06-05,Regular,Regular
179,1282.html,2001-06-06,Regular,Regular
180,1283.html,2001-06-07,Regular,Regular
181,1284.html,2001-06-08,Regular,Regular
182,1285.html,2001-06-11,Regular,Regular
183,1286.html,2006-10-09,Regular,Regular
184,1287.html,2006-10-10,Regular,Regular
185,1288.html,2006-10-11,Regular,Regular
186,1289.html,2006-10-12,Regular,Regular
187,129.html,2005-02-01,Teen,Teen Tournament
188,1290.html,2006-10-13,Regular,Regular
189,1291.html,2001-05-22,Regular,Regular
190,1292.html,2006-10-16,Regular,Regular
191,1293.html,2000-05-08,Champions,Tournament of Champions
192,1294.html,2006-10-17,Regular,Regular
193,1295.html,2000-05-09,Champions,Tournament of Champions
194,1296.html,2006-10-18,Regular,Regular
195,1297.html,2000-05-10,Champions,Tournament of Champions
196,1298.html,2000-05-12,Champions,Tournament of Champions
197,1299.html,2006-10-19,Regular,Regular
198,13.html,2004-09-22,Champions,Tournament of Champions
199,130.html,2005-02-02,Teen,Teen Tournament
200,1300.html,2000-05-15,Champions,Tournament of Champions
201,1301.html,2006-10-20,Regular,Regular
202,1302.html,2000-05-16,Champions,Tournament of Champions
203,1303.html,2000-05-17,Champions,Tournament of Champions
204,1304.html,2000-05-18,Champions,Tournament of Champions
205,1305.html,2000-05-19,Champions,Tournament of Champions
206,1307.html,2006-10-23,Regular,Regular
207,1308.html,2006-10-24,Regular,Regular
208,1310.html,2006-10-25,Regular,Regular
209,1311.html,2000-05-22,Regular,Regular
210,1312.html,2000-05-23,Regular,Regular
211,1313.html,2000-05-24,Regular,Regular
212,1314.html,2000-05-26,Regular,Regular
213,1315.html,2000-05-30,Regular,Regular
214,1316.html,2000-05-25,Regular,Regular
215,1318.html,2006-10-26,Regular,Regular
